gene_name	locus_tags_by_reference	product	repeat_motif	repeat_type	repeat_position_context	mechanism	effect_on_expression	known_on_off_interpretation	tract_lengths_reported	evidence_strength	source_ref	quote_or_locator	retrieved_date	notes	catalogue_locus_ids_matched	catalogue_match_basis	reconciliation_outcome
babB	NOT_FOUND	BabB paralog	NOT_FOUND	NOT_FOUND	NOT_FOUND	chimeric BabB/A subject to frameshift PV (review)	low expression	not established	NOT_FOUND	REPETITIVE_ONLY_NOT_PROVEN	PMC12915409 (review) sentence citing ref [131]	subject to frameshift phase variation	2026-09-21	Secondary review only.	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
modH (type III methyltransferase; phasevarion)	26695:HP1522	N6-adenosine type III DNA methyltransferase ModH	poly-G (guanosine) tract	homopolymer	CDS, 104 bp downstream of the DRD-encoding region	slipped-strand mispairing	full-length ModH (ON) or truncated (OFF); ModH5 controls motility genes, hopG	frame-dependent ON/OFF (in-frame G13 ON in 7.13; G10 ON in P12)	modH repeat tract 9 to 15 bp across strains (PMC3230613); P12 modH5 G10 ON; 7.13 G13 ON, G11/G12/G14 OFF	EXPERIMENTAL_PV	PMID:22162751 (PMC3230613) Results; PMID:29170397 (PMC5700931) Results	Poly-G tract length variation results in ON or truncated OFF	2026-09-21	17 alleles (modH1 to modH19 naming). Repeat lengths stated as 9-15 bp.	HPL00491	see g5_known_pv_reconciliation.tsv	CATALOGUE_PRESENT_CALLABLE
res/mod type III system (modA-like; J99 JHP1296/1297; strain 1061)	J99:jhp1296 (mod), jhp1297 (res); 26695 tag NOT_FOUND	type III R-M system, res upstream of mod	poly(C) tract in 5' res coding region	homopolymer	CDS 5' (res)	slipped-strand mispairing	res ORF shifts in/out of frame; res intact correlates with downstream mod transcription	frame-dependent ON/OFF for res; C tract required for mod transcriptional PV	NOT_FOUND numerically	EXPERIMENTAL_PV	PMID:12426350 (PMC135423) abstract	C tract required for transcriptional phase variation	2026-09-21	Do not equate with modH HP1522 (different system) without a source.	HPL00677	see g5_known_pv_reconciliation.tsv	CATALOGUE_PRESENT_CALLABLE
hpyAVIBM (C5 cytosine methyltransferase)	NOT_FOUND	M.HpyAVIB	NOT_FOUND	NOT_FOUND	NOT_FOUND	described as phase-variable	NOT_FOUND	not established	NOT_FOUND	STRONG_LITERATURE	PMID:22269034 abstract	phase-variable C(5) cytosine methyltransferase	2026-09-21	Repeat details not in abstract.	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
pldA (phospholipase A)	NOT_FOUND	phospholipase A	NOT_FOUND	NOT_FOUND	NOT_FOUND	repeat-length change during mouse colonization	changes would alter expression	not established	NOT_FOUND	STRONG_LITERATURE	PMID:15758236 abstract	phospholipase A ... changed most rapidly	2026-09-21	31-gene PV repertoire; full gene list in Salaun 2004/2005 tables not accessed (paywalled).	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
Redefined PV repertoire (46 candidates, 30 supported)	NOT_FOUND (table not accessed)	multiple	homopolymer and dinucleotide	mixed	mixed	repeat-associated	evidence of variability for 30 of 46	not established per gene	per-gene NOT_FOUND	STRONG_LITERATURE	PMID:15073292 abstract; PMID:9570395 abstract (27 putative PV genes)	supportive evidence for phase variability of 30 of the 46	2026-09-21	Use as supplementary candidate source once tables are obtained via lawful access.	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
cagY	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	Repeat-region recombination is not shown as SSM PV in sources read; no source retrieved	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
alpA/alpB	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	Only an adhesion citation found; no PV evidence found	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
hpaA	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	No source found	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
hopO/hopP	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	No source found	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
HP0102	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	PMID:27056952 abstract describes induction upon cell contact, no repeat/PV mention	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
HP0464	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	No source found	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
HP1105/HP1106	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	No source found	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
HP0058	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	No source found	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
tlpB/flhA	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	NOT_FOUND	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	No H. pylori source found; the only flhA PV hit is Campylobacter coli (reference title in PMC3315296)	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
cagA EPIYA	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	NOT_FOUND	not established	NOT_FOUND	REPETITIVE_ONLY_NOT_PROVEN	Europe PMC search 2026-09-21	NOT_FOUND	2026-09-21	Coding tandem repeat, not tested as PV here; PMID:15758236 abstract notes a coding tandem repeat in a PV gene varies but does not control expression (gene not named)	NONE	see g5_known_pv_reconciliation.tsv	LITERATURE_MAPPING_INSUFFICIENT
